Cidades,Casos,Novos Casos ,Óbitos
Águas Formosas ,196,8,3
Águas Vermelhas,25,0,0
Almenara ,402,0,5
Angelândia ,0,0,0
Araçuai,24,3,0
Aricanduva,1,0,0
Arinos,40,0,0
Ataléia ,52,0,4
Bandeira ,198,0,1
Berilo,5,0,0
Berizal,0,0,0
Bertópolis ,4,0,0
Bocaiúva,81,-2,2
Bonfinópolis de Minas,55,0,2
Bonito de Minas,4,0,0
Botumirim,0,0,0
Brasilândia de Minas,44,5,0
Brasília de Minas,25,0,0
Buritis,135,0,1
Buritizeiro,84,0,3
Cabeceira Grande,11,0,0
Cachoeira de Pajeú,16,0,0
Campo Azul,1,0,0
Capelinha ,17,0,0
Capitão Enéias,30,2,3
Caraí,59,1,1
Carbonita,6,0,0
Carlos Chagas ,167,0,2
Catuji,12,0,0
Catuti,1,0,0
Chapada do Norte,1,0,0
Chapada Gaúcha,14,0,0
Claro dos Poções,0,0,0
Comercinho,30,0,0
Cônego Marinho,2,0,0
Coração de Jesus,16,0,0
Coronel Murta ,0,0,0
Couto de Magalhães de Minas,5,0,0
Crisólita ,24,2,0
Cristália,1,0,0
Curral de Dentro,12,0,1
Datas,29,0,1
Diamantina,57,0,1
Divisa Alegre,13,0,0
Divisópolis ,19,2,1
Dom Bosco,22,0,0
Engenheiro Navarro,5,0,0
Espinosa,126,0,7
Felício dos Santos,1,0,0
Felisburgo,28,0,2
Formoso,28,0,1
Francisco Badaraó,1,0,0
Francisco Dumont,3,0,0
Francisco Sá,58,0,1
Franciscópolis ,0,0,0
Frei Gaspar,38,0,0
Fronteira dos Vales ,9,0,0
Fruta de Leite,9,0,2
Gameleiras,0,0,0
Glaucilândia,3,0,0
Gouveia,33,1,1
Grão-Mogol,24,0,0
Guaraciama,3,0,1
Guarda-Mor,48,0,0
Ibiaí,2,0,0
Ibiracatu,5,0,0
Icaraí de Minas,6,0,0
Indaiabira,2,0,0
Itacambira,0,0,0
Itacarambi,25,0,0
Itaipé,16,1,0
Itamarandiba ,15,0,0
Itaobim,152,0,1
Itinga ,37,0,2
Jacinto ,54,2,1
Jaíba,68,0,0
Janaúba,445,0,12
Januária,31,0,1
Japonvar,2,0,1
Jenipapo de Minas ,1,0,0
Jequitaí,21,0,0
Jequitinhonha ,48,0,2
Joaíma ,132,2,1
João Pinheiro,143,0,0
Jordânia,20,0,2
José Gonçalves de Minas ,1,0,0
Josenópolis,3,0,0
Juramento,0,0,0
Juvenília,3,0,0
Ladainha ,17,1,0
Lagamar,40,0,0
Lagoa dos Patos,12,0,0
Lagoa Grande,9,0,0
Lassance,7,0,0
Leme do Prado,0,0,0
Lontra,6,1,1
Luislândia,9,0,0
Malacacheta ,32,0,0
Mamonas,6,0,0
Manga,3,0,0
Mata Verde,17,0,0
Matias Cardoso,9,0,0
Mato Verde,4,0,0
Maxacalis,13,0,0
Medina ,100,8,3
Minas Novas,14,0,1
Mirabela,19,0,1
Miravânia,0,0,0
Montalvânia,41,0,0
Monte Azul,69,0,2
Monte Formoso,5,0,0
Montes Claros,1212,109,16
Montezuma,1,0,0
Nanuque ,274,4,8
Natalândia,5,0,0
Ninheira,8,0,0
Nova Porteirinha,38,0,2
Novo Cruzeiro,47,0,1
Novo Oriente de Minas ,61,0,2
Novorizonte,1,0,0
Olhos-d'Água,0,0,0
Ouro Verde de Minas,10,0,2
Padre Carvalho,18,0,0
Padre Paraiso,166,0,0
Pai Pedro,2,0,0
Palmópolis ,4,0,1
Paracatu,518,0,4
Patis,0,0,0
Pavão,12,4,0
Pedra Azul,79,0,4
Pedras de Maria da Cruz,0,0,0
Pintópolis,2,0,1
Pirapora,172,0,2
Ponto Chique,0,0,0
Ponto dos Volantes ,52,0,2
Porteirinha,90,0,0
Poté,87,0,3
Presidente Kubitschek,6,0,0
Presidente Olegário,57,0,0
Riachinho,12,0,0
Riacho dos Machados,10,0,1
Rio do Prado,17,0,1
Rio Pardo de Minas,35,0,1
Rubelita,2,0,0
Rubim,5,0,1
Salinas,256,0,10
Salto da Divisa ,16,0,0
Santa Cruz de Salinas,12,0,0
Santa Fé de Minas,5,0,0
Santa Helena de Minas ,12,0,0
Santa Maria do Salto,8,0,0
Santo Antônio do Jacinto,30,1,3
Santo Antônio do Retiro,8,0,0
São Francisco,53,0,6
São Gonçalo do Abaeté,12,0,0
São Gonçalo do Rio Preto,3,0,0
São João da Lagoa,5,0,0
São João da Ponte,21,0,1
São João das Missões,10,0,0
São João do Pacuí,0,0,0
São João do Paraíso,66,9,0
São Romão,31,0,1
Senador Modestino Gonçalves,1,0,1
Serra dos Aimorés,31,0,0
Serranópolis de Minas,2,0,0
Setubinha ,0,0,0
Taiobeiras,89,0,3
Teófilo Otoni,1240,6,49
Turmalina ,23,0,0
Ubaí,4,0,0
Umburatiba ,0,0,0
Unaí,943,0,10
Uruana de Minas,2,0,0
Urucuia,26,0,2
Vargem Grande do Rio Pardo,0,0,0
Varjão de Minas,12,0,1
Várzea da Palma,77,0,3
Varzelândia,21,0,2
Vazante,263,3,0
Verdelândia,0,0,0
Veredinha,0,0,0
Virgem da Lapa ,9,0,0
